episode,film,character,line
1,The Phantom Menace,PAN DOWN,to reveal a small space cruiser heading TOWARD
1,The Phantom Menace,QUI-GON,These Federation types are cowards. The negotiations will
1,The Phantom Menace,PADME,moves away as SEBULBA edges his way next to ANAKIN
1,The Phantom Menace,CAMERA,at great speed. PAN with the cruiser as it heads toward the
1,The Phantom Menace,QUI-GON,(off screen voice) Captain.
1,The Phantom Menace,CAPTAIN,"Yes, sir?"
1,The Phantom Menace,QUI-GON,(V.O.) Tell them we wish to board at once.
1,The Phantom Menace,CAPTAIN,"Yes, sir."
1,The Phantom Menace,CAPTAIN,"With respect for the Trade Federation, the Ambassadors"
1,The Phantom Menace,NUTE,"Yes, yes, of coarse… ahhh… as you know, our blockade is"
1,The Phantom Menace,DOCKING BAY,– SPACE (FX)
1,The Phantom Menace,A PROTOCOL,"DROID, TC-3, waits at the door to the docking bay."
1,The Phantom Menace,PK-4,Whoever it is must be important if the Viceroy sent one of those
1,The Phantom Menace,EG-9 A,Republic cruiser! That’s trouble… don’t you think?
1,The Phantom Menace,PR-4,I’m not made to think. 5. INT. FEDERATION BATTLESHIP –
1,The Phantom Menace,CONFERENCE,ROOM
1,The Phantom Menace,CAMERA,into the formal conference room by TC-3.
1,The Phantom Menace,TC-3 I,hope you honored sirs with the most comfortable here. My
1,The Phantom Menace,OBI-WAN I,have a bad feeling about this.
1,The Phantom Menace,QUI-GON I,don’t feel anything.
1,The Phantom Menace,OBI-WAN,"It’s not about the mission, Master, it’s something…"
1,The Phantom Menace,QUI-GON,"Don’t center on your anxiety, Obi-Wan. Keep your"
1,The Phantom Menace,OBI-WAN,Master Yoda says I should be mindful of the future…
1,The Phantom Menace,QUI-GON,… but not at the expense of the moment. Be mindful of the
1,The Phantom Menace,NUTE GUNRAY,"and DAULTAY DOFINE stand, stunned, before TC-"
1,The Phantom Menace,OBI-WAN,"Yes, Master… How do you think this trade viceroy will deal"
1,The Phantom Menace,NUTE,(shaken) What?!? What did you say?
1,The Phantom Menace,CAPTAIN,No! Warn…
1,The Phantom Menace,DOFINE I,"knew it! They were sent to force a settlement, eh. Blind me,"
1,The Phantom Menace,NUTE,Stay calm! I’ll wager the Senate isn’t aware of the Supreme
1,The Phantom Menace,DOFINE,Are you brain dead? I’m not going in there with two Jedi!
1,The Phantom Menace,DOFINE,"turns to TC-3, who lets out a squeaky sigh."
1,The Phantom Menace,QUI-GON,and OBI-WAN sit at the large conference table.
1,The Phantom Menace,OBI-WAN,Is it their nature to make us wait this long?
1,The Phantom Menace,QUI-GON,"is thinking. The door to the conference room slides open,"
1,The Phantom Menace,QUI-GON,No… I sense an unusual amount of fear here for
1,The Phantom Menace,DARTH,"SIDIOUS, a robed figure whose face is obscured by a hood."
1,The Phantom Menace,DOFINE,"… This scheme of yours has failed, Lord Sidious. The"
1,The Phantom Menace,DARTH SIDIOUS,You seem more worried about the Jedi than you
1,The Phantom Menace,DARTH SIDIOUS I,don’t want that stunted slime in my sight again…
1,The Phantom Menace,BIBBLE A,communications disruption can only mean one thing.
1,The Phantom Menace,NUTE,"Yes, My Lord."
1,The Phantom Menace,NUTE,"gives DOFINE a fierce look, and DOFINE, terrified, rushes off"
1,The Phantom Menace,DARTH SIDIOUS,This turn of events is unfortunate. We must
1,The Phantom Menace,NUTE,"Ahhh, My Lord, is that… legal?"
1,The Phantom Menace,DARTH SIDIOUS I,will make it legal.
1,The Phantom Menace,NUTE,And the… Jedi?
1,The Phantom Menace,DARTH SIDIOUS,The Chancellor should never have brought them
1,The Phantom Menace,NUTE,"Ye… Yes, My Lord. As you wish. 9. INT. REPUBLIC"
1,The Phantom Menace,CRUISER,– COCKPIT – DOCKING BAY
1,The Phantom Menace,PILOT,Captain!? Look!!
1,The Phantom Menace,TC-3,"The Ambassadors are Jedi Knights, I believe."
1,The Phantom Menace,NUTE,"Yes, My Lord."
1,The Phantom Menace,QUI-GON,and OBI-WAN leap to a standing position with their laser
